MARCA	MODELO	AÑO	COLOR	SUCURSAL	PRECIO DE LISTA	PRECIO EN PROMOCIÓN
CITROEN	C4 PICASSO HDI 2.0	2008	GRIS	Irarrázaval 590	$ 6.290.000	$ 5.990.000
CHEVROLET	SAIL II NB 1.4	2013	BLANCO	Irarrázaval 357	$ 5.290.000	$ 5.190.000
CHEVROLET	SPARK LITE HB 800CC  	2012	NEGRO	Irarrázaval 590	$ 3.490.000	$ 3.390.000
HYUNDAI	SANTA FE	2013	BLANCO PERLA	Irarrázaval 357	$ 11.990.000	$ 11.390.000
KIA	MOHAVE EX 4X4 	2011	GRIS OSCURO	Irarrázaval 357	$ 14.200.000	$ 13.490.000
SUZUKI	GRAND VITARA 1.6	2012	PLATEDO PLATA	Gran Avenida 8181	$ 7.990.000	$ 7.590.000
CHEVROLET	SAIL II NB 1.4 LT	2013	BLANCO	Gran Avenida 8181	$ 5.090.000	$ 4.890.000
CHEVROLET	CAPTIVA III LT FULL 2.4L AWD 6AT	2013	AZUL POSEIDON	Irarrázaval 590	$ 14.190.000	$ 13.490.000
CHEVROLET	SPARK GT HB 1.2 MT LT  	2013	BLANCO	Gran Avenida 8181	$ 4.940.000	$ 4.690.000
VOLKSWAWEN	BORA SPORTLINE 1.8	2012	GRIS TITANIO	Irarrázaval 357	$ 6.890.000	$ 6.590.000
CHEVROLET	SPARK LITE HB 1.0 M	2012	BLANCO	Irarrázaval 357	$ 3.390.000	$ 3.290.000
CHEVROLET	CAPTIVA III LT FULL 2.4L AWD 6AT	2013	PLATEADO PLATA METALICO	Irarrázaval 357	$ 13.390.000	$ 12.790.000
NISSAN	SENTRA XE 1.8 AUT	2003	PLATEADO	Irarrázaval 590	$ 3.190.000	$ 3.190.000
CHEVROLET	CORSA EXTRA 1,6 	2009	PLATA POLARIS	Irarrázaval 590	$ 2.950.000	$ 2.890.000
NISSAN	NAVARA LE 2.5	2012	BLANCO	Irarrázaval 357	$ 11.990.000	$ 11.390.000
CHEVROLET	CAPTIVA LS 2.4 	2011	BEIGE LINEN	Irarrázaval 590	$ 8.890.000	$ 8.490.000
